id;name;description;total_grants;min_score_general;min_score_quota;picture;type
1;architectures matrix innovative;Buckinghamshire executive;27808;28410;47700;synthesizing Wooden;Strategist front-end
2;alarm Enterprise-wide coherent;models Baby AI;88915;73407;178;Table user back-end;Dominica AGP
3;application sexy Gloves;Avon edge;71566;14538;65389;Maryland Account Account;definition
4;compressing Tonga Loan;Shoes whiteboard olive;83474;5632;85003;copy withdrawal;invoice transmit
5;Fresh high-level;optimize national Architect;18503;75326;63980;Plains Metrics;Metal Engineer withdrawal
6;driver hybrid;orchid Forks Lakes;23221;15888;88279;Account;input Director North
7;wireless Cambridgeshire matrix;Sharable Bike Mountain;34246;42204;46532;Wallis Planner withdrawal;Principal digital Markets
8;Frozen;parse Investment toolset;85442;2731;47113;SAS Identity;Belgium Platinum Mouse
9;interactive synthesizing Lanka;multi-state Generic next-generation;16387;45536;47153;communities Sierra generating;Market
10;Rustic Radial Object-based;parse pink;10287;67042;23998;Account;Flats reboot
