id;name;address;description;dormitory;military;status;code;logo;short_name
1;Intuitive niches;e-business;(Malvinas) red;false;true;Rubber deposit salmon;Generic Legacy Open-architected;indigo definition;Down-sized Internal Illinois
2;Legacy Plastic;Metal up;Avon;false;true;initiatives Guinea-Bissau;interface Designer infrastructure;compressing;microchip
3;XSS;Steel withdrawal;magenta;true;true;Sleek Supervisor;white systems open-source;navigating enterprise Internal;Cotton
4;invoice;Gorgeous Accountability;York array Liberian;true;false;upward-trending Buckinghamshire;Senior;explicit Legacy Personal;Sports pink
5;Producer (Slovak Ameliorated;scalable;Savings Strategist quantify;true;true;product;Crossroad Granite Administrator;Reverse-engineered Kuwait;Macao plum
6;Engineer implement Strategist;Plains;Shirt e-services Team-oriented;true;false;Creative Ridges Handmade;invoice Qatar;deposit;Bangladesh
7;Future;Extension;black Sleek plum;true;true;Gambia;Metal Handcrafted National;Rustic Organic;transmit overriding
8;Strategist navigating payment;Home Monitored;morph connect Spur;true;true;Refined Brooks;Market Cheese;protocol;Granite Kina Garden
9;methodologies methodology Account;Accounts forecast;Central;true;false;Account;programming Grocery proactive;Verde metrics;North open-source
10;application Cotton;compress SSL;Ergonomic Field;false;false;Outdoors deliver discrete;Gorgeous Berkshire index;Macao Mississippi IB;withdrawal Borders
